ID,Brand,Category,Sub_category,Sub_Sub_Category,Product_Name,SKU,Price,Offer_Price,Description,Product_Id,Image1,Image2,image3,image4,image5,,,
70,Lidl,Fresh Fruit,Citrus Fruit,Citrus Fruit,Premium Oranges 4pack,81353,1.99,,Please see photos for Allergy and Nutritional information.,,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/81353/402756_orig.jpg,,,,,,,
71,Lidl,Fresh Fruit,Seeded Fruit,Seeded Fruit,Loose Pears 1piece,70215,0.49,0.29,Please see photos for Allergy and Nutritional information.,1663987,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70215/403591_orig.jpg,,,,,,,
72,Lidl,Fresh Fruit,Seeded Fruit,Seeded Fruit,Pink Lady Apples 6pack,70210,2.99,,Please see photos for Allergy and Nutritional information.,,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70210/410961_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70210/410962_orig.jpg,,,,,,
73,Lidl,Fresh Fruit,Seeded Fruit,Seeded Fruit,Gala Apples,70212,1.69,,Please see photos for Allergy and Nutritional information.,,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70212/403648_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70212/403649_orig.jpg,,,,,,
74,Lidl,Fresh Fruit,Seeded Fruit,Seeded Fruit,Conference Pears 1kg,70218,1.79,,Please see photos for Allergy and Nutritional information.,,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70218/410958_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70218/410959_orig.jpg,,,,,,
75,Lidl,Fresh Fruit,Seeded Fruit,Seeded Fruit,Granny Smith Apples,70208,1.39,,Please see photos for Allergy and Nutritional information.,,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70208/402733_orig.jpg,,,,,,,
76,Lidl,Fresh Fruit,Seeded Fruit,Seeded Fruit,Organic Red Apples 6 Pack,84526,2.99,,Please see photos for Allergy and Nutritional information.,,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/84526/410964_orig.jpg,,,,,,,
77,Lidl,Fresh Fruit,Seeded Fruit,Seeded Fruit,Bramley Apples,70219,1.49,,Please see photos for Allergy and Nutritional information.,,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70219/403693_orig.jpg,,,,,,,
78,Lidl,Fresh Fruit,Seeded Fruit,Seeded Fruit,Loose Red Apples Per Piece,270207,0.39,,Please see photos for Allergy and Nutritional information.,,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/270207/410971_orig.jpg,,,,,,,
79,Lidl,Fresh Fruit,Stone Fruit,Stone Fruit,Plums 500g,70226,1.19,,Please see photos for Allergy and Nutritional information.,,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70226/403662_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70226/403663_orig.jpg,,,,,,
80,Lidl,Fresh Fruit,Stone Fruit,Stone Fruit,Nectarines 500g,70222,1.99,,Please see photos for Allergy and Nutritional information.,,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70222/401712_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70222/401711_orig.jpg,,,,,,
